country,latitude,longitude,billionaires_count,Population,GDP,GDP per capta,GDP Growth,Tax Revenue,Global Innovation Index,HDI_2022,gini_2010-2022,Concentration of Billionaires
India,20.593684,78.96288,67,1428627663.0,3353470496885.95,2347.336947013849,7.58397112433558,17.7,"36,6","0,644","34,2",0.046898153896380204
Indonesia,-0.789275,113.921327,14,277534122.0,1319076267310.16,4752.843570385049,5.04810577067288,8.31010524192246,"27,9","0,713","37,9",0.050444247716682565
Ireland,53.35014,-6.266155,3,5262382.0,533140011838.276,101311.53759614486,-3.1987859599287,16.2000964755069,"48,5","0,950","29,2",0.5700840417894406
Israel,31.046051,34.851612,13,9756700.0,525002447652.773,53809.42815222083,1.99703998799328,21.9053118567727,"50,2","0,915","38,6",1.332417723205592
Italy,41.87194,12.56738,22,58761146.0,2066972096553.7,35175.830242550066,0.920692213760276,24.7595801641641,"46,1","0,906","35,2",0.3743970548157791
Japan,36.204824,138.252924,29,124516650.0,4256410760723.75,34183.46671488311,1.92305553064716,12.31570769025,"53,6","0,920","32,9",0.23290057996259939
Kazakhstan,48.019573,66.923684,6,19900177.0,225496328925.494,11331.373028767232,5.09999999973641,8.3188093138288,"24,7","0,802","27,8",0.3015048559618339
Lebanon,33.854721,35.862285,2,5353930.0,20992421948.8081,3920.936947029211,-0.6,8.90172832507978,23.2,"0,723","31,8",0.37355736813891854
Malaysia,4.210484,101.975766,5,34308525.0,407027451714.616,11863.740913216643,3.68028218563347,10.8846712054019,"38,7","0,807","41,2",0.1457363731026035
Mexico,23.634501,-102.552784,6,128455567.0,1463323889036.56,11391.673581858544,3.22873675559163,13.9003944863246,31,"0,781","45,4",0.046708758056394704
Netherlands,52.132633,5.291266,7,17879488.0,1009398719033.08,56455.683688094425,0.116008634532122,24.3732188367042,58,"0,946","26,0",0.3915100924590234
New Zealand,-40.900557,174.885971,1,5223100.0,246733522841.353,47238.90464309567,0.632242361629224,29.93,"47,2","0,939","33,9",0.19145718060155847
Nigeria,9.081999,8.675277,2,223804632.0,472624596925.938,2111.773079504172,2.86021499108364,6.7,"16,9","0,548","35,1",0.008936365535097593
Norway,60.472024,8.468946,4,5519594.0,593726965415.619,107567.14450657404,0.514118226595343,21.2531867719174,"48,8","0,966","27,7",0.7246909827063368
Oman,21.4735329,55.975413,1,4644384.0,114667360208.062,24689.46585985612,1.29999999999998,4.5,"26,8","0,819","55,7",0.2153138069548082
Philippines,12.879721,121.774017,4,117337368.0,404353369604.631,3446.074992960733,5.54585117087767,13.9509857073772,"30,7","0,710","40,7",0.03408973686882085
Poland,51.919438,19.145136,5,36685849.0,689763329458.441,18801.89087237537,0.160586011025046,17.4778155361402,"37,5","0,881","28,8",0.13629233440937946
Qatar,25.354826,51.183884,1,2716391.0,235770403734.9,86795.4590244556,4.2,10,"32,9","0,875","46,2",0.3681355151007348
Romania,45.943161,24.96676,3,19056116.0,298891515898.026,15684.807748757721,2.14847699574527,13.8491001663416,"34,1","0,827","34,6",0.1574297721529403
Russia,61.52401,105.318756,74,143826130.0,2266029240645.34,15755.337647236562,3.60000000000001,10.7991186914872,"34,3","0,821","36,0",0.5145101241339108
Singapore,1.352083,103.819836,12,5917648.0,498474540987.78,84235.24700823368,1.07503175095101,12.7315446821269,"57,3","0,949",45.9,2.0278326794699515
Slovakia,48.669026,19.699024,2,5426740.0,115584743573.553,21299.11209557727,1.59645497115139,18.636553592737,"34,3","0,855","23,2",0.36854538820728466
South Africa,-30.559482,22.937506,3,60414495.0,405270850098.738,6708.172436080745,0.601662303103254,22.487256165157,"29,8","0,717","63,0",0.049656957324562594
South Korea,35.907757,127.766922,14,51712619.0,1673916511799.71,32369.594581928057,1.35673324311098,14.8612576736336,"57,8","0,929","31,4",0.27072695737959046
Spain,40.463667,-3.74922,9,48373336.0,1417800466262.65,29309.544958045688,2.50329435985475,13.5693157344438,"44,6","0,911","34,9",0.18605291146345582
Sweden,60.128161,18.643501,13,10536632.0,590409594949.102,56033.99596276135,-0.196170994604543,26.7287653680492,"61,6","0,952","28,9",1.2337908356294498
Switzerland,46.818188,8.227512,15,8849852.0,818426550206.45,92479.12283803729,0.716066868695833,9.34487114995366,"64,6","0,967","33,1",1.6949435990567978
Taiwan,25.105497,121.597366,22,23171184.0,688125000000.0,29697.446621631418,2.4,25.2,,,,0.9494551508459818
Thailand,15.870032,100.992541,13,71801279.0,495645210972.751,6903.013677134511,1.88281746066315,14.457740249559,"34,9","0,803","35,1",0.18105527061711532
Türkiye,38.963745,35.243322,14,85326000.0,907118435952.688,10631.20779074008,4.5168665079849,17.6996920623628,"38,1","0,855","41,9",0.1640766003328411
